input lags, input Dimensions, hidden, outputs, net parameters, trainError, validationError, RMSE, MAPE, SMAPE, train time, iterations 
([1; 6];),174,70,121,20841,0.300,0.355,481.660,9.811,4.885,109.720,789
([1; 6];),174,75,121,22321,0.294,0.347,477.791,9.797,4.870,105.350,839
([1; 6];),174,80,121,23801,0.291,0.347,479.199,9.805,4.879,97.059,759
([1; 6];),174,85,121,25281,0.289,0.345,476.898,9.764,4.866,100.846,759
([1; 6];),174,90,121,26761,0.284,0.343,475.823,9.706,4.837,104.918,759
([1; 6];),174,95,121,28241,0.272,0.336,468.484,9.665,4.801,123.759,879
([1; 6];),174,100,121,29721,0.270,0.336,469.714,9.622,4.793,133.918,919
([1; 6];),174,105,121,31201,0.267,0.327,461.784,9.457,4.710,126.316,839
([1; 6];),174,110,121,32681,0.258,0.327,464.248,9.533,4.745,162.593,1059
([1; 6];),174,115,121,34161,0.264,0.327,464.445,9.580,4.758,130.787,819
([1; 6];),174,120,121,35641,0.248,0.321,458.124,9.451,4.689,187.881,1139
([1; 6];),174,125,121,37121,0.252,0.318,461.838,9.489,4.719,158.344,919
([1; 24]; [168; 192]),217,70,121,23851,0.263,0.324,470.914,9.629,4.798,88.931,759
([1; 24]; [168; 192]),217,75,121,25546,0.272,0.329,473.928,9.661,4.811,68.580,549
([1; 24]; [168; 192]),217,80,121,27241,0.263,0.321,469.571,9.563,4.756,79.496,619
([1; 24]; [168; 192]),217,85,121,28936,0.253,0.322,466.818,9.543,4.747,94.822,699
([1; 24]; [168; 192]),217,90,121,30631,0.254,0.320,465.919,9.424,4.703,89.805,609
([1; 24]; [168; 192]),217,95,121,32326,0.257,0.315,464.705,9.473,4.707,76.299,519
([1; 24]; [168; 192]),217,100,121,34021,0.245,0.308,457.838,9.307,4.635,96.970,649
([1; 24]; [168; 192]),217,105,121,35716,0.243,0.305,456.778,9.288,4.627,97.657,619
([1; 24]; [168; 192]),217,110,121,37411,0.237,0.301,458.338,9.232,4.610,109.408,669
([1; 24]; [168; 192]),217,115,121,39106,0.234,0.299,451.449,9.108,4.552,109.150,659
([1; 24]; [168; 192]),217,120,121,40801,0.237,0.304,456.408,9.307,4.632,105.201,619
([1; 24]; [168; 192]),217,125,121,42496,0.231,0.293,450.654,9.127,4.558,114.139,629
([1; 48]; [168; 192]),241,70,121,25531,0.260,0.322,463.993,9.426,4.687,64.157,499
([1; 48]; [168; 192]),241,75,121,27346,0.248,0.316,460.100,9.379,4.672,83.731,619
([1; 48]; [168; 192]),241,80,121,29161,0.251,0.311,457.463,9.332,4.640,68.497,499
([1; 48]; [168; 192]),241,85,121,30976,0.244,0.315,458.981,9.367,4.667,87.980,619
([1; 48]; [168; 192]),241,90,121,32791,0.234,0.306,453.839,9.299,4.624,91.140,619
([1; 48]; [168; 192]),241,95,121,34606,0.232,0.300,450.125,9.245,4.598,92.831,619
([1; 48]; [168; 192]),241,100,121,36421,0.240,0.304,454.061,9.226,4.596,72.416,469
([1; 48]; [168; 192]),241,105,121,38236,0.233,0.302,449.393,9.144,4.553,89.293,539
